SeasonKey,GameDate,GameTime,Month,DayOfWeek,DaysSinceHomeGame,Opponent,Temp,isRain,isSnow,IsHoliday,GiveawayBucket,TotalTickets,TotalAttendance, TotalRevenue 
2015,10/28/2015,7:00,October,Wednesday,99,Toronto Raptors,43,0,0,0,None,"16,350 ","13,950 "," $1,570,000 "
2015,10/30/2015,7:00,October,Friday,2,Washington Wizards,46,0,0,0,None,"17,700 ","16,600 "," $1,630,000 "
2015,11/4/2015,7:00,November,Wednesday,5,Philadelphia 76ers,61,0,0,0,None,"14,000 ","11,900 "," $1,170,000 "
2015,11/7/2015,7:30,November,Saturday,3,Brooklyn Nets,39,0,0,0,None,"18,700 ","17,150 "," $1,870,000 "
2015,11/10/2015,7:00,November,Tuesday,3,Boston Celtics,41,0,0,0,None,"14,250 ","12,550 "," $1,550,000 "
2015,11/14/2015,7:30,November,Saturday,4,Cleveland Cavaliers,50,0,0,0,Franchise,"17,650 ","16,000 "," $1,710,000 "
2015,11/23/2015,7:00,November,Monday,9,Detroit Pistons,34,0,0,0,None,"18,500 ","14,400 "," $1,540,000 "
2015,11/25/2015,7:00,November,Wednesday,2,Sacramento Kings,50,0,0,0,None,"14,800 ","12,150 "," $1,310,000 "
2015,11/30/2015,7:00,November,Monday,5,Denver Nuggets,43,1,0,0,None,"18,950 ","16,100 "," $1,580,000 "
2015,12/5/2015,7:30,December,Saturday,5,New York Knicks,37,0,0,0,None,"15,250 ","13,250 "," $1,440,000 "
2015,12/7/2015,7:00,December,Monday,2,Portland Trail Blazers,36,0,0,0,None,"15,000 ","12,800 "," $1,300,000 "
2015,12/9/2015,7:00,December,Wednesday,2,Los Angeles Clippers,41,0,0,0,None,"14,000 ","11,700 "," $1,510,000 "
2015,12/12/2015,7:30,December,Saturday,3,Golden State Warriors,43,0,0,0,Franchise,"15,050 ","14,550 "," $1,690,000 "
2015,12/23/2015,7:00,December,Wednesday,11,Philadelphia 76ers,55,0,0,0,Wearable,"14,150 ","11,850 "," $1,200,000 "
2015,12/26/2015,4:00,December,Saturday,3,Toronto Raptors,36,0,0,0,None,"16,350 ","14,500 "," $1,470,000 "
2015,1/4/2016,7:00,January,Monday,9,San Antonio Spurs,19,0,0,0,None,"14,400 ","10,200 "," $1,240,000 "
2015,1/8/2016,7:00,January,Friday,4,Dallas Mavericks,37,1,0,0,None,"18,350 ","16,850 "," $1,750,000 "
2015,1/12/2016,7:00,January,Tuesday,4,Chicago Bulls,3,0,0,0,None,"18,850 ","16,600 "," $1,990,000 "
2015,1/15/2016,7:00,January,Friday,3,Atlanta Hawks,30,0,0,0,Franchise,"18,950 ","16,150 "," $1,840,000 "
2015,1/26/2016,7:00,January,Tuesday,11,Orlando Magic,27,0,0,0,None,"14,950 ","12,150 "," $1,370,000 "
2015,1/29/2016,7:00,January,Friday,3,Miami Heat,32,0,0,0,Wearable,"17,300 ","15,250 "," $1,750,000 "
2015,2/9/2016,7:00,February,Tuesday,11,Boston Celtics,18,1,1,0,None,"19,000 ","16,450 "," $2,110,000 "
2015,2/11/2016,7:00,February,Thursday,2,Washington Wizards,18,0,0,0,Franchise,"14,900 ","13,200 "," $1,370,000 "
2015,2/19/2016,7:00,February,Friday,8,Charlotte Hornets,45,0,0,0,Franchise,"18,550 ","16,150 "," $1,770,000 "
2015,2/22/2016,7:00,February,Monday,3,Los Angeles Lakers,34,0,0,0,None,"18,800 ","15,900 "," $2,200,000 "
2015,2/27/2016,7:30,February,Saturday,5,Detroit Pistons,50,0,0,0,Franchise,"13,750 ","11,800 "," $1,270,000 "
2015,2/29/2016,7:00,February,Monday,2,Houston Rockets,32,0,0,0,None,"17,250 ","13,900 "," $1,550,000 "
2015,3/2/2016,7:00,March,Wednesday,2,Indiana Pacers,25,0,0,0,Wearable,"16,850 ","14,100 "," $1,290,000 "
2015,3/4/2016,7:00,March,Friday,2,Minnesota Timberwolves,32,1,1,0,Franchise,"15,350 ","13,700 "," $1,200,000 "
2015,3/6/2016,2:30,March,Sunday,2,Oklahoma City Thunder,46,0,0,0,None,"15,850 ","13,050 "," $1,440,000 "
2015,3/9/2016,7:00,March,Wednesday,3,Miami Heat,52,0,0,0,Franchise,"19,000 ","16,450 "," $1,650,000 "
2015,3/12/2016,6:30,March,Saturday,3,New Orleans Pelicans,52,0,0,0,Franchise,"18,050 ","16,400 "," $1,400,000 "
2015,3/15/2016,7:00,March,Tuesday,3,Toronto Raptors,46,0,0,0,None,"20,300 ","17,400 "," $1,560,000 "
2015,3/17/2016,7:00,March,Thursday,2,Memphis Grizzlies,46,0,0,0,Franchise,"20,200 ","17,850 "," $1,220,000 "
2015,3/20/2016,6:00,March,Sunday,3,Utah Jazz,34,0,0,0,Wearable,"18,500 ","14,700 "," $1,590,000 "
2015,3/26/2016,7:30,March,Saturday,6,Charlotte Hornets,41,0,0,0,Franchise,"15,800 ","14,550 "," $1,310,000 "
2015,3/30/2016,7:00,March,Wednesday,4,Phoenix Suns,57,1,0,0,None,"17,150 ","15,500 "," $1,470,000 "
2015,4/1/2016,7:00,April,Friday,2,Orlando Magic,37,0,0,0,Franchise,"20,900 ","17,400 "," $1,470,000 "
2015,4/3/2016,6:00,April,Sunday,2,Chicago Bulls,46,0,0,0,Franchise,"20,800 ","17,650 "," $1,960,000 "
2015,4/5/2016,7:00,April,Tuesday,2,Cleveland Cavaliers,37,0,0,0,Wearable,"15,850 ","13,500 "," $1,350,000 "
2015,4/13/2016,7:00,April,Wednesday,8,Indiana Pacers,41,0,0,0,None,"20,400 ","16,700 "," $1,600,000 "
2016,10/26/2016,7:00,October,Wednesday,99,Charlotte Hornets,46,1,0,0,Franchise,"14,300 ","12,500 "," $1,490,000 "
2016,10/29/2016,7:00,October,Saturday,3,Brooklyn Nets,54,0,0,0,None,"18,500 ","17,750 "," $1,860,000 "
2016,11/3/2016,7:00,November,Thursday,5,Indiana Pacers,52,0,0,0,None,"14,900 ","13,000 "," $1,270,000 "
2016,11/5/2016,7:00,November,Saturday,2,Sacramento Kings,52,0,0,0,None,"18,800 ","16,700 "," $1,660,000 "
2016,11/10/2016,7:00,November,Thursday,5,New Orleans Pelicans,57,0,0,0,None,"17,200 ","15,100 "," $1,470,000 "
2016,11/12/2016,7:30,November,Saturday,2,Memphis Grizzlies,45,0,0,0,None,"14,450 ","13,100 "," $1,130,000 "
2016,11/19/2016,7:30,November,Saturday,7,Golden State Warriors,30,0,0,0,None,"14,900 ","14,550 "," $1,670,000 "
2016,11/21/2016,7:00,November,Monday,2,Orlando Magic,28,0,0,0,None,"14,300 ","11,150 "," $1,110,000 "
2016,11/25/2016,7:00,November,Friday,4,Toronto Raptors,37,0,0,1,None,"16,400 ","14,200 "," $1,400,000 "
2016,11/29/2016,7:00,November,Tuesday,4,Cleveland Cavaliers,45,0,0,0,None,"15,350 ","13,200 "," $1,510,000 "
2016,12/3/2016,4:00,December,Saturday,4,Brooklyn Nets,32,0,0,0,None,"19,450 ","17,650 "," $1,960,000 "
2016,12/5/2016,7:00,December,Monday,2,San Antonio Spurs,34,0,0,0,Franchise,"17,050 ","12,200 "," $1,410,000 "
2016,12/7/2016,7:00,December,Wednesday,2,Portland Trail Blazers,23,1,1,0,None,"14,150 ","12,450 "," $1,320,000 "
2016,12/9/2016,7:00,December,Friday,2,Atlanta Hawks,19,0,0,0,None,"20,100 ","17,500 "," $1,890,000 "
2016,12/15/2016,7:00,December,Thursday,6,Chicago Bulls,9,0,0,0,None,"19,050 ","17,200 "," $1,830,000 "
2016,12/20/2016,7:00,December,Tuesday,5,Cleveland Cavaliers,28,0,0,0,None,"13,750 ","11,700 "," $1,370,000 "
2016,12/23/2016,7:00,December,Friday,3,Washington Wizards,32,1,1,0,Wearable,"17,850 ","15,800 "," $1,660,000 "
2016,1/2/2017,6:00,January,Monday,10,Oklahoma City Thunder,37,0,0,1,None,"19,500 ","15,400 "," $1,860,000 "
2016,1/6/2017,7:00,January,Friday,4,New York Knicks,3,0,0,0,None,"16,100 ","13,400 "," $1,510,000 "
2016,1/8/2017,1:00,January,Sunday,2,Washington Wizards,18,0,0,0,None,"14,000 ","11,600 "," $1,490,000 "
2016,1/13/2017,7:00,January,Friday,5,Miami Heat,19,0,0,0,Franchise,"16,600 ","14,600 "," $1,680,000 "
2016,1/16/2017,2:30,January,Monday,3,Philadelphia 76ers,34,0,0,1,None,"17,000 ","13,700 "," $1,370,000 "
2016,1/23/2017,7:00,January,Monday,7,Houston Rockets,37,0,0,0,None,"14,750 ","11,850 "," $1,350,000 "
2016,1/25/2017,7:00,January,Wednesday,2,Philadelphia 76ers,32,1,1,0,Franchise,"18,050 ","15,050 "," $1,580,000 "
2016,1/28/2017,7:00,January,Saturday,3,Boston Celtics,28,0,0,0,Wearable,"16,150 ","14,700 "," $1,780,000 "
2016,2/8/2017,7:00,February,Wednesday,11,Miami Heat,18,0,0,0,None,"16,350 ","13,850 "," $1,700,000 "
2016,2/10/2017,7:00,February,Friday,2,Los Angeles Lakers,41,0,0,0,None,"16,000 ","14,500 "," $1,910,000 "
2016,2/13/2017,7:00,February,Monday,3,Detroit Pistons,37,0,0,0,None,"17,400 ","13,300 "," $1,480,000 "
2016,2/24/2017,7:00,February,Friday,11,Utah Jazz,30,1,1,0,None,"19,000 ","15,650 "," $1,760,000 "
2016,2/26/2017,2:30,February,Sunday,2,Phoenix Suns,40,0,0,0,Franchise,"14,400 ","12,550 "," $1,570,000 "
2016,3/1/2017,7:00,March,Wednesday,3,Denver Nuggets,28,0,0,0,None,"14,450 ","12,750 "," $1,100,000 "
2016,3/3/2017,7:00,March,Friday,2,Los Angeles Clippers,27,0,0,0,None,"16,400 ","14,500 "," $1,450,000 "
2016,3/4/2017,7:00,March,Saturday,1,Toronto Raptors,34,0,0,0,None,"17,000 ","15,300 "," $1,290,000 "
2016,3/8/2017,7:00,March,Wednesday,4,New York Knicks,37,0,0,0,None,"19,250 ","15,700 "," $1,520,000 "
2016,3/10/2017,7:00,March,Friday,2,Indiana Pacers,19,0,0,0,None,"19,550 ","17,050 "," $1,450,000 "
2016,3/11/2017,7:00,March,Saturday,1,Minnesota Timberwolves,23,0,0,0,Franchise,"18,250 ","16,900 "," $1,490,000 "
2016,3/24/2017,7:00,March,Friday,13,Atlanta Hawks,39,0,0,0,None,"17,800 ","15,050 "," $1,430,000 "
2016,3/26/2017,2:30,March,Sunday,2,Chicago Bulls,43,1,0,0,None,"18,500 ","16,000 "," $1,730,000 "
2016,3/31/2017,7:00,March,Friday,5,Detroit Pistons,41,0,0,0,None,"19,600 ","16,550 "," $1,440,000 "
2016,4/2/2017,2:30,April,Sunday,2,Dallas Mavericks,55,0,0,0,None,"21,400 ","18,700 "," $1,910,000 "
2016,4/10/2017,7:00,April,Monday,8,Charlotte Hornets,37,0,0,0,None,"18,000 ","14,650 "," $1,390,000 "
2017,10/20/2017,6:00,October,Friday,99,Cleveland Cavaliers,70,0,0,0,Wearable,"14,300 ","12,800 "," $1,440,000 "
2017,10/21/2017,7:30,October,Saturday,1,Portland Trail Blazers,70,0,0,0,Franchise,"17,650 ","15,850 "," $1,640,000 "
2017,10/23/2017,7:00,October,Monday,2,Charlotte Hornets,50,0,0,0,None,"14,700 ","12,750 "," $1,320,000 "
2017,10/26/2017,7:00,October,Thursday,3,Boston Celtics,54,0,0,0,None,"17,300 ","16,300 "," $1,770,000 "
2017,10/31/2017,7:00,October,Tuesday,5,Oklahoma City Thunder,36,0,0,1,None,"16,600 ","14,900 "," $1,680,000 "
2017,11/11/2017,7:30,November,Saturday,11,Los Angeles Lakers,34,0,0,1,None,"20,100 ","19,100 "," $2,450,000 "
2017,11/13/2017,7:00,November,Monday,2,Memphis Grizzlies,36,0,0,0,None,"18,350 ","14,950 "," $1,290,000 "
2017,11/15/2017,7:00,November,Wednesday,2,Detroit Pistons,39,0,0,0,Franchise,"19,000 ","15,300 "," $1,700,000 "
2017,11/20/2017,7:00,November,Monday,5,Washington Wizards,48,0,0,0,None,"15,400 ","12,800 "," $1,360,000 "
2017,12/2/2017,7:30,December,Saturday,12,Sacramento Kings,43,0,0,0,None,"13,700 ","12,000 "," $1,240,000 "
2017,12/6/2017,7:00,December,Wednesday,4,Detroit Pistons,28,0,0,0,None,"13,450 ","10,700 "," $1,220,000 "
2017,12/8/2017,7:00,December,Friday,2,Dallas Mavericks,32,0,0,0,Wearable,"18,300 ","16,900 "," $1,700,000 "
2017,12/9/2017,7:30,December,Saturday,1,Utah Jazz,19,0,0,0,None,"16,900 ","14,550 "," $1,600,000 "
2017,12/15/2017,7:00,December,Friday,6,Chicago Bulls,30,1,1,0,None,"16,350 ","14,700 "," $1,610,000 "
2017,12/19/2017,7:00,December,Tuesday,4,Cleveland Cavaliers,37,0,0,0,None,"15,250 ","13,000 "," $1,510,000 "
2017,12/22/2017,7:00,December,Friday,3,Charlotte Hornets,32,0,0,0,Franchise,"20,100 ","17,650 "," $1,890,000 "
